Juego,Balda,Fecha adquisición,Prestado a,Fecha préstamo,Estado,Anotaciones,Comprobado,Veces sacado 2014,Veces sacado 2015,Veces sacado 2016,Veces sacado 2017,Veces sacado 2018,Veces sacado 2019,Veces sacado 2020,Veces sacado 2021,Veces sacado 2023,Veces sacado 2024,Veces sacado 2025,Veces sacado TOTAL,,,,,,,,,,,,,,
Mr. Wolf,Y4,,,,,,,,,,,2,1,1,,,,,4,,,,,,,,,,,,,,
Munchkin,COL 3,,,,,,,,1,,,,,1,,,,,2,,,,,,,,,,,,,,
Mundodisco: Ankh-Morpork,B5,,,,,,,1,1,,,1,1,,,,,,4,,,,,,,,,,,,,,
Mundodisco: Las Brujas,B5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
MUSA,J6,,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,
Mundo Neurente,*,,,,,ok,12-agosto,,1,,,,,,,,,,1,,,,,,,,,,,,,,
Museum,H4,,,,,,,,,,,,,,3,1,3,,7,,,,,,,,,,,,,,
Mutant Meeples,F1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
My Gold Mine,COL 0,14 JUN 2023,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Mysterium,D5,18 ENE 2025,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Mysterium (Tajemnicze Domostwo),*,,,,,,,,8,3,,2,2,,,,,,15,,,,,,,,,,,,,,
Nacidos de la Bruma: El juego de construcción de mazos,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Nations,K5,,,,,ok,19-febrero,,,,,1,2,1,,,1,,5,,,,,,,,,,,,,,
Náufragos,H3,,,,,,,3,4,2,2,,,,,,,,11,,,,,,,,,,,,,,
Navegador,L3,,,,,,,1,2,,,,,,,,,,3,,,,,,,,,,,,,,
Neoville,J2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Nessie,Novedades,15 MAY 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Neuroshima Hex! 3.0,C3,,,,,,,,1,,,,1,,,,,,2,,,,,,,,,,,,,,
Neuroshima Hex! 3.0 Sharrash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 1901,F1,,,,,falta una loseta amarilla,,,,,,,,2,1,,,,3,,,,,,,,,,,,,,
New York Crisis,C4,MARZO 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Newton,G3,,,,,,,,,,,,4,1,,1,,,6,,,,,,,,,,,,,,
Newton: Nuevos Horizontes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIJI,Novedades,14 OCT 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Nilo,H6,DIC 2023,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Nimble,*,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Nippon,E2,,,,,,,,,,2,1,1,,,,1,,5,,,,,,,,,,,,,,
Nishikigoi,*,,,,,,,,,,,,2,3,1,,,,6,,,,,,,,,,,,,,
Nitro,J6,,,,,,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,
NMBR9,M5,,,,,,,,,,1,3,1,1,,,,1,7,,,,,,,,,,,,,,
NMBR9: Starting Tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMBR9: Extra Tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Game Over,COL 4,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
"No Game Over: Expansiones – Nientiendo, Play & Greatest Hits y Retro",COL 4,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
No time for heroes,J6,,,,,,,,,1,3,,,,,,,,4,,,,,,,,,,,,,,
Nobel Run,COL 2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
NOCAUT!,COL 1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Not Alone,COL 0,,,,,,,,,,,1,,,,,1,,2,,,,,,,,,,,,,,
Not Alone: Exploración,COL 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Alone: The Red Artefact Promo,COL 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,F3,,,,,ok,,,1,,,1,,,1,,,,3,,,,,,,,,,,,,,
Noviembre Rojo,COL 1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Océanos,J1,,,,,,,,,,6,1,,,,,,,7,,,,,,,,,,,,,,
Océanos de papel,COL 2,FEB 2024,Lutxin,18 oct,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,
Odyssey: La Ira de Poseidón,L1,,,,,,,,,,2,1,,,,,,,3,,,,,,,,,,,,,,
Oh My Pigeons!,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Oilfield,G1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Okiya,COL 5,,,,,,,,,1,1,,1,1,,,,1,5,,,,,,,,,,,,,,
Omertá: El poder de la mafia,C4,,,,,ok,7-octubre,,,,,,,,,,,,0,,,,,,,,,,,,,,
Omertá (GDM),COL 0,DIC 2023,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
On Mars,K4,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,
Onitama,I5,,,,,,,,,,,1,2,1,,3,1,1,9,,,,,,,,,,,,,,
Onitama,I5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONUS! Roma Vs Cartago,C5,,,,,,,,1,,,,,,1,,,,2,,,,,,,,,,,,,,
Optimus,COL 2,,Lutxin,18 oct,,,,,,,,,,,,1,,2,3,,,,,,,,,,,,,,
Ora et Labora,E3,,,,,,31-diciembre,,,4,1,2,,3,,1,,,11,,,,,,,,,,,,,,
Orbital,Novedades,21 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Orbito,D2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Oricalco,I3,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Origame,Y6,DIC 2023,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Orleans,E4,,,,,,,,,,,3,3,3,,,,,9,,,,,,,,,,,,,,
Osopark,M5,,,,,,,,,,,3,4,4,1,1,1,1,15,,,,,,,,,,,,,,
OTYS,J5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ouch!,COL 0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Out of this World,COL 3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Oziland,Z3,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,
Pajarracos,COL 5,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,
Pajarracos Party,COL 7,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Pakal,D4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Palacio de Viana,*,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,
Palastgefluster (Intrigas de Palacio),COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Palazzo,M2,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,
Paleo,H3,,,,,,,,,,,,,,,4,1,2,7,,,,,,,,,,,,,,
Pan Am,J3,,,,,,,,,,,,,,,2,2,1,5,,,,,,,,,,,,,,
Panda Royale,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Pandemic,C4,,,,,ok,15-diciembre,,3,2,,1,,1,1,1,1,1,11,,,,,,,,,,,,,,
Pandemic: El reino de Cthulhu,C4,,,,,,,,,,,1,1,,,,,1,3,,,,,,,,,,,,,,
Pandemic: Iberia,C4,,,,,,,,,,4,,,1,2,3,,,10,,,,,,,,,,,,,,
Pandemic: La caida de Roma,C4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Panic Diner,,,,,,,,,,,,,2,4,1,,,,7,,,,,,,,,,,,,,
Panic Lab,P1,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,
Panic Mansion,Z3,,,,,,,,,,,1,4,,1,,1,,7,,,,,,,,,,,,,,
Pantheon,E1,,,,,,,1,1,1,1,,,,,,,,4,,,,,,,,,,,,,,
Papaya Monkey,Z2,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Papua,D2,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,
Paracaidistas en tu bolsillo,C6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Paradice,J2,,,,,,,,,,,,,,,2,1,,3,,,,,,,,,,,,,,
Parfum,H1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Paris: La Cité de la Lumière ,I5,,,,,,,,,,,,2,5,3,1,2,,13,,,,,,,,,,,,,,
Paris: La Cité de la Lumière – La Liberté éclairant le monde Carte Postale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKS,J2,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,
Passe trappe,A1,,,,,,,,1,,1,2,1,,,,,,5,,,,,,,,,,,,,,
Passe trappe,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Password Express,COL 5,,,,,,,,,,,1,8,,2,,,,11,,,,,,,,,,,,,,
Patas Arriba,COL 2,8 JUN 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Patchwork,I5,,,,,,,,,5,1,2,2,2,1,1,3,1,18,,,,,,,,,,,,,,
Patchwork 5x5 bonus,I5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patchwork Doodle,COL 3,,,,,,,,,,,,1,2,1,,,,4,,,,,,,,,,,,,,
Patchwork Exprés,I5,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,
Patente de Corso,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Pattern Party!,COL 6,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Pax Porfiriana,C6,,,,,ok,12-agosto,,1,,1,,,,,,,,2,,,,,,,,,,,,,,
Peak Oil,F1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Pearls,COL 4,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Pelusas,COL 3,,,,,,,,,,,,,,,4,2,3,9,,,,,,,,,,,,,,
Pelusas Revolution,COL 3,26 ABR 2025,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,
Penalties: Animal Cup,COL 7,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Penguin Airlines,D4,14 JUN 2023,,,,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,,
Pentaurus: Duel,COL 2,,,,,ok,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
Pepinillo,P1,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Pequeños Grandes Reinos,COL 3,,,,,ok,,,,,,,2,,,,,,2,,,,,,,,,,,,,,
Pequeños Grandes Westerns,COL 3,,,,,,,,,,1,,4,2,,,,,7,,,,,,,,,,,,,,
Perspectives,G6,MAYO 2024,,,,,,,,,,,,,,,1,4,5,,,,,,,,,,,,,,
Perudo: Beach,D6,,,,,,,,,,,,,,4,2,,1,7,,,,,,,,,,,,,,
Petris,P4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Picatesoros,Y4,,,,,,,,,,,,,,1,5,1,2,9,,,,,,,,,,,,,,
Picatesoros,Y4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pick-a-foca,COL 7,,,,,ok,13/08/2025,,,,,1,3,2,,,,1,7,,,,,,,,,,,,,,
Pick-a-oso polar,COL 7,,,,,,,,,,,,4,1,,,,,5,,,,,,,,,,,,,,
Picnic,COL 6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Picnic (Zacatrus),COL 0,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,
Pictomania 2ª Edición (Devir),D4,,,,,,,,,,,,2,1,1,2,2,,8,,,,,,,,,,,,,,
Pictomanía,D3,,,,,ok,12-agosto,,10,2,1,1,,2,,,4,,20,,,,,,,,,,,,,,
Piece of Pie,J6,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
Pikit,COL 2,MAYO 2024,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,
Piko Piko Deluxe,Y6,,,,,,,,,,,,2,,,1,,,3,,,,,,,,,,,,,,
Pili Pili,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Pippo,COL 6,,,,,,,,,,,,3,1,,,,,4,,,,,,,,,,,,,,
Pirámide del Sol,*,,,,,,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,
Piratas al agua,P2,,,,,,,,,,3,3,1,1,1,1,2,2,14,,,,,,,,,,,,,,
Pirate King,COL 2,8 JUN 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Piratoons,Z3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Pit,P2,,,,,ok,12-julio,1,2,,1,,1,,,,,,5,,,,,,,,,,,,,,
Pitch & Plakks,A1,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
PitchCar,Y1,,,,,ok,31-agosto,2,2,1,3,,,,,2,1,1,12,,,,,,,,,,,,,,
PitchCar Exp. 1,Y1,,,,,ok,31-agosto,1,2,1,1,,,,,2,,,7,,,,,,,,,,,,,,
PitchCar Exp. 2,Y1,,,,,ok,31-agosto,1,2,,1,,,,,2,,,6,,,,,,,,,,,,,,
Planet Steam,G1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Plata,COL 0,,,,,,,,,,,,,,2,1,1,1,5,,,,,,,,,,,,,,
Plenus,COL 2,,,,,,,,,,,,5,3,,,1,,9,,,,,,,,,,,,,,
Plenus I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plenus II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plenus III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plenus Exp IV, V y VI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumilla Postal,Y4,,,,,,,,,,,,,,,2,1,,3,,,,,,,,,,,,,,
Poc!,COL 6,,,,,,,,,,,,1,3,,,,,4,,,,,,,,,,,,,,
Pócimas y Brebajes,I3,,,,,,,,,,,,,,,3,,3,6,,,,,,,,,,,,,,
Pócimas y Brebajes Jr,Y2,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,
Pocket Invaders,*,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Pocket Mars,COL 0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Poison,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Pokémon Maestro Entrenador,Y1,,,,,,,,,,5,4,2,2,1,4,2,3,23,,,,,,,,,,,,,,
"Poli Bueno, Poli Malo",COL 4,,,,,,,,,2,1,,,,,,,,3,,,,,,,,,,,,,,
Polilla Tramposa,COL 7,,,,,ok,13/08/2025,,,,2,1,,,,,2,1,6,,,,,,,,,,,,,,
Polis,C5,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,
Pony Express,K2,,,,,,6 noviembre,,,,,,,,,,,,0,,,,,,,,,,,,,,
Port Royal,COL 2,,,,,,,,,,,2,,,1,1,,,4,,,,,,,,,,,,,,
Portal of Morth,C1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Potion Explotion,I3,,,,,,,,,4,3,3,4,3,3,1,1,,22,,,,,,,,,,,,,,
Poule poule,COL 2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
POWERUP,B1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Pradera,I3,,,,,,,,,,,,,,,1,1,2,4,,,,,,,,,,,,,,
Praga Caput Regni,F2,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Primer Frutal,Y3,,,,,,,,,,,,6,1,2,2,1,,12,,,,,,,,,,,,,,
Primer Frutal,Novedades,8 JUN 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Primera Clase,E4,,,,,,,,,,2,2,2,,,,1,,7,,,,,,,,,,,,,,
Princesa Jing,C1,,,,,,,,,,,,3,5,4,2,,,14,,,,,,,,,,,,,,
Project L,J4,2 JUN 2023,Jugoma,30 ago,,,,,,,,,,,,3,4,4,11,,,,,,,,,,,,,,
Project L: Finesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosperity,E1,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,
Puerto Rico,E3,,,,,,,,2,1,,,,1,,,,1,5,,,,,,,,,,,,,,
Puerto Rico: Festival en Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulgas a la carrera,COL 6,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Pulsar 2849,L5,,,,,,,,,,,2,,,1,,,1,4,,,,,,,,,,,,,,
Q: La Tumba del Arqueólogo,COL 5,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,
Q: Muerte el 4 de Julio,COL 5,,,,,,,,,,,,,,2,1,,,3,,,,,,,,,,,,,,
Q: Última llamada,COL 5,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Qiahn tactics: Ed.Goblin II,N4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Quadrópolis,I3,,,,,,,,,,,1,3,,1,,,1,6,,,,,,,,,,,,,,
Quantum,C1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Queenz: To Bee or Not to Bee,J4,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,
Quest Stories,COL 1,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,
Quick Stop,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Quorum,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Qwantum,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Qwinto,COL 2,,,,,dentro del qwixx,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Qwirkle,I1,,,,,,,,,5,1,,,,,1,1,,8,,,,,,,,,,,,,,
Qwitch,P1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Qwixx,COL 2,,,,,,,1,2,2,,2,,1,,,,1,9,,,,,,,,,,,,,,
Qwixx Big Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwixx Characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwixx Connected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwixx gemmixt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RabbitZ & Robots,COL 0,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Race for the Galaxy,M3,,,,,ok,,1,1,,,1,,,1,1,,,5,,,,,,,,,,,,,,
Radlands,I5,,,,,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,,
Raids,C0,,,,,,,,,,,,4,1,,,,,5,,,,,,,,,,,,,,
Rainbow,COL 7,,,,,,,,,,,3,3,,,,1,,7,,,,,,,,,,,,,,
Rainbow Elf,COL 6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Raj,COL 5,,,,,,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,
Rally de Animales MIX MAX,COL 7,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,
Rally de Zanahorias,Z2,,,,,,,,,,,11,5,1,2,1,,1,21,,,,,,,,,,,,,,
RallyRas,COL 6,,,,,,,,,1,,,,,1,,,,2,,,,,,,,,,,,,,
Rampage,Y2,,,,,ok,,,2,3,2,1,,1,1,,,,10,,,,,,,,,,,,,,
Ranking! Cine y Series,D6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ranking! Cultura Friki,D6,14 JUN 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Raptor Race,Novedades,14 OCT 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ratland,D2,,,,,,,,,,,,4,,1,1,,,6,,,,,,,,,,,,,,
Ratones a la carrera,Y5,,,,,,,,,,6,1,1,1,1,1,,,11,,,,,,,,,,,,,,
Ratzzia,I6,,,,,,,,,,,,,3,1,,,,4,,,,,,,,,,,,,,
Ray Master,J6,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,,,
"Ready, Steady, Go!",Novedades,14 OCT 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Red 7,COL 0,,,,,,,,,,2,2,,,1,,,1,6,,,,,,,,,,,,,,
Red Carpet,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Red Panda,COL 6,FEB 2024,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,
Red Stories,COL 4,,Lutxin,18 oct,,,,,,,,,,1,,,,2,3,,,,,,,,,,,,,,
Reef,J4,,,,,,,,,,,,10,3,2,,,,15,,,,,,,,,,,,,,
Reef: King of the Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regreso al Futuro: Viaja en el tiempo a golpe de dado,C3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Reinos de Papel,M3,,,,,,,,,,,,,3,2,,,,5,,,,,,,,,,,,,,
Remolacha,COL 1,,,,,,,,,,,,,,,1,,2,3,,,,,,,,,,,,,,
Remolacha (proto),*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Res Arcana,C3,18 SEP 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Res Arcana: Lux et Tenebrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Res Arcana: Perlae Imperii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revive,G2,DIC 2023,,,,,,,,,,,,,,,4,1,5,,,,,,,,,,,,,,
Revolucion 1828,H6,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
REX: Últimos Días de un Imperio,B3,,,,,,,,,,1,,1,,,1,,,3,,,,,,,,,,,,,,
Rhino Hero,COL 7,,,,,,,,,,,7,2,2,1,,,,12,,,,,,,,,,,,,,
Rhino Hero Junior,Y3,,,,,,,,,,,,,,1,1,2,1,5,,,,,,,,,,,,,,
Rhino Hero: Missing Match,COL 7,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Rhino Hero: Super Battle,Y1,,,,,,,,,,,,2,1,,,,,3,,,,,,,,,,,,,,
Rialto,F3,,,,,,,,1,,,,,1,,,,,2,,,,,,,,,,,,,,
Rick and Morty: 100 Días,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ricochet Robots,D3,,,,,,,1,2,,,,,,1,,,,4,,,,,,,,,,,,,,
Riftforce,I5,,,,,,,,,,,,,,1,1,2,,4,,,,,,,,,,,,,,
Risk Starcraft,A2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Risky Dominó,Z2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Ritmo y Bola,P1,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,
Rivet Wars: El Frente del Este,A3,,,,,,,,5,1,1,,,,,,,,7,,,,,,,,,,,,,,
Robin de Locksley,I5,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Robinson Crusoe: Aventuras en la Isla Maldita,H3,,,,,ok,10-enero,,,8,4,2,7,3,1,2,4,2,33,,,,,,,,,,,,,,
Roedores,COL 6,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Roll and Play,P3,,,,,,,,,,,,2,,1,,,,3,,,,,,,,,,,,,,
Roll to the Top,COL 2,,,,,,,,,,,,,2,3,,,1,6,,,,,,,,,,,,,,
Rolling Ranch,COL 0,,,,,,,,,,,,3,2,2,,,,7,,,,,,,,,,,,,,
Rome & Roll,L1,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Rookie Heroes,E6,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
ROOM: Agus & Monsters,COL 7,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
ROOT,G4,,,,,,,,,,,,,2,2,1,4,2,11,,,,,,,,,,,,,,
ROOT: Expansión Los Ribereños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROX,COL 7,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Rubbish Race,Y6,,,,,,,,,,,,,,1,1,1,,3,,,,,,,,,,,,,,
Ruidos en la noche,COL 7,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Rulebenders,*,ENE 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Rum & Bones,*,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,
Runebound,B2,,,,,,,1,2,1,,,,,,,1,,5,,,,,,,,,,,,,,
Runebound: Island Of Dread,B2,,,,,,1,1,1,,,,,,,,,,2,,,,,,,,,,,,,,
Runewars,A4,,,,,,,,,4,1,1,,,,,,,6,,,,,,,,,,,,,,
Rush Hour Traffic Jam,Y5,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,
Russians Railroads,E4,,,,,ok,31-agosto,,2,3,,,,1,1,,,,7,,,,,,,,,,,,,,
Sabika,F2,,,,,,,,,,,,,,,2,1,2,5,,,,,,,,,,,,,,
Saboteur,COL 5,,,,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,
Saboteur Deluxe,E6,,,,,,,,,2,1,,,,,,,,3,,,,,,,,,,,,,,
Sabuesos,COL 7,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Safranito,L2,,,,,traducir manual,05-junio,,2,6,,,2,1,2,,2,,15,,,,,,,,,,,,,,
Sagrada,H5,,,,,,,,,,,,,3,,3,3,,9,,,,,,,,,,,,,,
Saint Malo,M2,,ericplacton,3 oct,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Saint Petesburg,M3,,,,,ok,,,,1,,,2,4,,,,,7,,,,,,,,,,,,,,
Salem 1692,COL 4,,,,,,,,,,,,4,3,2,,,,9,,,,,,,,,,,,,,
Sam The Villain,Y5,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Samurai Sword,D6,,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,
San Juan,I6,,,,,,,1,2,,,,1,,,,1,,5,,,,,,,,,,,,,,
Sanctum,B2,,,,,,,,,,,,,2,2,,1,,5,,,,,,,,,,,,,,
Sankt Petersburg (Second Edition),M3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Santa Maria,G2,,,,,,,,,,,,3,3,,2,,,8,,,,,,,,,,,,,,
Santa Maria: Expansion Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Mónica (PNP),N4,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Santiago de Cuba,M6,,,,,tapa rota,,,1,,,2,1,1,1,,,,6,,,,,,,,,,,,,,
Santo Domingo,E6,,,,,,,,,,,2,,1,,,,,3,,,,,,,,,,,,,,
Santorini (PNP),N4,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,
Santorini: Golden Fleece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
